Sun Jun 25 18:22:45 2017    restats

         675458 function calls (666568 primitive calls) in 1.808 seconds

   Ordered by: internal time
   List reduced from 278 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      284    0.463    0.002    0.463    0.002 tools_karkkainen_sanders.py:5(radixpass)
    71/20    0.406    0.006    0.912    0.046 tools_karkkainen_sanders.py:39(kark_sort)
       20    0.137    0.007    0.137    0.007 rstr_max.py:39(step2_lcp)
       20    0.098    0.005    0.222    0.011 rstr_max.py:67(step3_rstr)
    35000    0.084    0.000    0.095    0.000 rstr_max.py:118(removeMany)
       72    0.068    0.001    0.078    0.001 utils.py:362(ChenFoxLyndonBreakpoints)
       20    0.048    0.002    0.978    0.049 rstr_max.py:15(step1_sort_suffix)
    84186    0.028    0.000    0.028    0.000 {built-in method builtins.max}
     2302    0.025    0.000    0.097    0.000 dseqrecord.py:138(__init__)
       71    0.023    0.000    0.023    0.000 tools_karkkainen_sanders.py:48(<listcomp>)
        1    0.023    0.023    1.808    1.808 assembly.py:126(__init__)
       71    0.021    0.000    0.021    0.000 tools_karkkainen_sanders.py:77(<listcomp>)
187259/178457    0.020    0.000    0.025    0.000 {built-in method builtins.len}
     1620    0.020    0.000    0.041    0.000 dseq.py:471(__getitem__)
     6619    0.019    0.000    0.019    0.000 {method 'split' of 'str' objects}
      960    0.016    0.000    0.016    0.000 __init__.py:440(__getitem__)
     4687    0.015    0.000    0.015    0.000 {method 'lower' of 'str' objects}
     3320    0.015    0.000    0.039    0.000 dseq.py:294(__init__)
      810    0.015    0.000    0.091    0.000 SeqRecord.py:322(__getitem__)
     3102    0.015    0.000    0.027    0.000 copy.py:269(_reconstruct)
       20    0.011    0.001    0.930    0.046 tools_karkkainen_sanders.py:30(direct_kark_sort)
    53296    0.010    0.000    0.010    0.000 {method 'pop' of 'list' objects}
       20    0.009    0.000    1.346    0.067 common_sub_strings.py:16(common_sub_strings)
     3102    0.009    0.000    0.049    0.000 copy.py:67(copy)
      628    0.009    0.000    0.009    0.000 __init__.py:1746(vertex)
    11900    0.009    0.000    0.009    0.000 {built-in method builtins.hasattr}
     1742    0.009    0.000    0.033    0.000 SeqFeature.py:266(_shift)
      810    0.008    0.000    0.175    0.000 dseqrecord.py:945(__getitem__)
      815    0.007    0.000    0.007    0.000 {method 'strftime' of 'datetime.date' objects}
      815    0.007    0.000    0.007    0.000 {built-in method today}
     5210    0.007    0.000    0.007    0.000 SeqRecord.py:72(__init__)
     2323    0.006    0.000    0.013    0.000 SeqRecord.py:300(_set_seq)
       20    0.006    0.000    0.006    0.000 tools_karkkainen_sanders.py:36(<listcomp>)
     3102    0.006    0.000    0.006    0.000 {method '__reduce_ex__' of 'object' objects}
      580    0.005    0.000    0.037    0.000 SeqRecord.py:769(__add__)
      217    0.005    0.000    0.033    0.000 _simple_paths8_GT.py:16(all_simple_paths_edges)
    54791    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
     1395    0.005    0.000    0.010    0.000 SeqRecord.py:153(__init__)
     1742    0.005    0.000    0.017    0.000 SeqFeature.py:842(_shift)
     6204    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
    28157    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
     1492    0.005    0.000    0.011    0.000 SeqRecord.py:236(_set_per_letter_annotations)
     3917    0.005    0.000    0.005    0.000 {method 'update' of 'dict' objects}
     1742    0.004    0.000    0.004    0.000 SeqFeature.py:218(_get_location_operator)
