Sun Jun 25 19:35:16 2017    restats

         433989117 function calls (423537190 primitive calls) in 498.746 seconds

   Ordered by: internal time
   List reduced from 279 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2828626   30.864    0.000  118.577    0.000 dseqrecord.py:138(__init__)
   109656   30.527    0.000   49.562    0.000 _simple_paths8_GT.py:16(all_simple_paths_edges)
   978124   20.454    0.000  116.652    0.000 SeqRecord.py:322(__getitem__)
    21111   20.045    0.001   23.008    0.001 utils.py:362(ChenFoxLyndonBreakpoints)
  1956248   19.973    0.000   42.210    0.000 dseq.py:471(__getitem__)
        1   19.524   19.524  498.698  498.698 assembly.py:126(__init__)
  8012680   18.927    0.000   18.927    0.000 {method 'split' of 'str' objects}
  4913627   18.914    0.000   18.914    0.000 {method 'lower' of 'str' objects}
  3806725   18.153    0.000   33.872    0.000 copy.py:269(_reconstruct)
  4011902   17.904    0.000   43.035    0.000 dseq.py:294(__init__)
  3645286   17.381    0.000   65.988    0.000 SeqFeature.py:266(_shift)
87821337/77369629   14.837    0.000   19.793    0.000 {built-in method builtins.len}
  3806725   11.636    0.000   60.388    0.000 copy.py:67(copy)
 14900905   10.717    0.000   10.882    0.000 {built-in method builtins.hasattr}
   624357   10.179    0.000   10.574    0.000 __init__.py:440(__getitem__)
  3645286    9.884    0.000   34.166    0.000 SeqFeature.py:842(_shift)
  6535675    8.812    0.000    8.812    0.000 SeqRecord.py:72(__init__)
   978124    8.769    0.000  214.571    0.000 dseqrecord.py:945(__getitem__)
   867289    8.759    0.000   63.271    0.000 SeqRecord.py:769(__add__)
   978134    8.622    0.000    8.622    0.000 {method 'strftime' of 'datetime.date' objects}
  3645286    8.523    0.000    8.523    0.000 SeqFeature.py:218(_get_location_operator)
  7290572    8.253    0.000   14.675    0.000 SeqFeature.py:1378(_shift)
   978134    8.181    0.000    8.181    0.000 {built-in method today}
  2839750    7.430    0.000   15.322    0.000 SeqRecord.py:300(_set_seq)
  1845423    7.125    0.000   13.187    0.000 SeqRecord.py:153(__init__)
  3806725    6.911    0.000    6.911    0.000 {method '__reduce_ex__' of 'object' objects}
 39293955    6.901    0.000    6.901    0.000 {built-in method builtins.isinstance}
   867289    6.548    0.000  132.240    0.000 dseqrecord.py:919(__add__)
  1850502    5.970    0.000   13.593    0.000 SeqRecord.py:236(_set_per_letter_annotations)
  3645365    5.961    0.000    8.922    0.000 SeqFeature.py:589(__init__)
  4784859    5.794    0.000    5.794    0.000 {method 'update' of 'dict' objects}
  7613450    5.765    0.000    5.765    0.000 {built-in method builtins.getattr}
   867289    5.734    0.000   24.093    0.000 dseq.py:825(__add__)
   385534    5.123    0.000    5.123    0.000 __init__.py:1746(vertex)
 24595214    4.750    0.000    4.750    0.000 {built-in method builtins.setattr}
  3645365    4.684    0.000    5.344    0.000 SeqFeature.py:91(__init__)
 25481509    4.145    0.000    4.145    0.000 SeqRecord.py:318(<lambda>)
 11097479    4.000    0.000    4.000    0.000 {built-in method __new__ of type object at 0x7f4020b24220}
  7290730    3.596    0.000    6.422    0.000 SeqFeature.py:1358(__new__)
   978262    3.505    0.000   35.950    0.000 assembly.py:59(__init__)
  8493982    3.406    0.000    4.528    0.000 Seq.py:221(__len__)
  1176086    3.160    0.000   14.434    0.000 dseq.py:622(rc)
   192604    3.036    0.000    8.162    0.000 __init__.py:1763(edge)
  2151064    3.017    0.000    3.017    0.000 {built-in method builtins.max}
